sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
79ps	sp001556435	079Ps-CMPN001x41_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
79ps	sp001556435	079Ps-CMPN001x41_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
132cs	sp001556435	132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	rmarvig
132cs	sp001556435	132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
132cs	sp001556435	132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
91csv	sp001556435	91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
91csv	sp001556435	91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
91csv	sp001556435	91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
91csv	sp001556435	91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104703319	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104703319	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA4362446	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4362446	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA4362454	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4362454	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5379075	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5379075	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6160297	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6160297	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA7117751	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
