Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104042165	sp900766505	tetA(46)	92.81	1725/1725	100.0	1..1725	SAMEA104042165.contig00001 len=745124 cov=36.1 corr=1 origname=NODE_1_length_745124_cov_36.099923_pilon sw=shovill-spades/1.0.4 date=20181219	281354..283078	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104042165	sp900766505	tetB(46)	90.07	1722/1737	99.02130109383995	1..1721	SAMEA104042165.contig00001 len=745124 cov=36.1 corr=1 origname=NODE_1_length_745124_cov_36.099923_pilon sw=shovill-spades/1.0.4 date=20181219	283080..284800	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138663	sp900766505	tetA(46)	92.46	1725/1725	100.0	1..1725	SAMEA104138663.contig00002 len=315836 cov=39.9 corr=1 origname=NODE_2_length_315836_cov_39.943016_pilon sw=shovill-spades/1.0.4 date=20181221	292882..294606	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA104138663	sp900766505	tetB(46)	90.59	1722/1737	99.02130109383995	1..1721	SAMEA104138663.contig00002 len=315836 cov=39.9 corr=1 origname=NODE_2_length_315836_cov_39.943016_pilon sw=shovill-spades/1.0.4 date=20181221	294608..296328	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA111347028	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA111347028.contig00002 len=556728 cov=35.5 corr=0 origname=NODE_2_length_556728_cov_35.507649_pilon sw=shovill-spades/1.1.0 date=20230624	219735..221198	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA111347028	sp900766505	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA111347028.contig00002 len=556728 cov=35.5 corr=0 origname=NODE_2_length_556728_cov_35.507649_pilon sw=shovill-spades/1.1.0 date=20230624	221318..222535	Erythromycin, Azithromycin	U83667
SAMEA111347028	sp900766505	tetA(46)	95.07	1725/1725	100.0	1..1725	SAMEA111347028.contig00001 len=673708 cov=40.3 corr=0 origname=NODE_1_length_673708_cov_40.284136_pilon sw=shovill-spades/1.1.0 date=20230624	304371..306095	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA111347028	sp900766505	tetB(46)	92.34	1711/1737	98.38802533103052	1..1710	SAMEA111347028.contig00001 len=673708 cov=40.3 corr=0 origname=NODE_1_length_673708_cov_40.284136_pilon sw=shovill-spades/1.1.0 date=20230624	306097..307806	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114321100	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114321100.contig00003 len=200660 cov=39.1 corr=0 origname=NODE_3_length_200660_cov_39.134730_pilon sw=shovill-spades/1.1.0 date=20240709	63225..64688	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114321100	sp900766505	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA114321100.contig00003 len=200660 cov=39.1 corr=0 origname=NODE_3_length_200660_cov_39.134730_pilon sw=shovill-spades/1.1.0 date=20240709	64808..66025	Erythromycin, Azithromycin	U83667
SAMEA114321100	sp900766505	tetA(46)	95.19	1725/1725	100.0	1..1725	SAMEA114321100.contig00008 len=106956 cov=39.8 corr=0 origname=NODE_8_length_106956_cov_39.837868_pilon sw=shovill-spades/1.1.0 date=20240709	33939..35663	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114321100	sp900766505	tetB(46)	90.36	1722/1737	98.96373056994818	1..1721	SAMEA114321100.contig00008 len=106956 cov=39.8 corr=0 origname=NODE_8_length_106956_cov_39.837868_pilon sw=shovill-spades/1.1.0 date=20240709	32218..33937	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114321103	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA114321103.contig00002 len=262116 cov=39.2 corr=0 origname=NODE_2_length_262116_cov_39.241392_pilon sw=shovill-spades/1.1.0 date=20240709	144796..146259	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA114321103	sp900766505	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA114321103.contig00002 len=262116 cov=39.2 corr=0 origname=NODE_2_length_262116_cov_39.241392_pilon sw=shovill-spades/1.1.0 date=20240709	146379..147596	Erythromycin, Azithromycin	U83667
SAMEA114321103	sp900766505	tetA(46)	94.55	1725/1725	100.0	1..1725	SAMEA114321103.contig00001 len=511730 cov=41.3 corr=0 origname=NODE_1_length_511730_cov_41.266841_pilon sw=shovill-spades/1.1.0 date=20240709	149965..151689	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114321103	sp900766505	tetB(46)	92.45	1722/1737	99.02130109383995	1..1721	SAMEA114321103.contig00001 len=511730 cov=41.3 corr=0 origname=NODE_1_length_511730_cov_41.266841_pilon sw=shovill-spades/1.1.0 date=20240709	148243..149963	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390768	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA5390768.contig00005 len=137702 cov=31.6 corr=0 origname=NODE_5_length_137702_cov_31.636321_pilon sw=shovill-spades/1.1.0 date=20230705	61527..62990	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5390768	sp900766505	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA5390768.contig00005 len=137702 cov=31.6 corr=0 origname=NODE_5_length_137702_cov_31.636321_pilon sw=shovill-spades/1.1.0 date=20230705	60190..61407	Erythromycin, Azithromycin	U83667
SAMEA5390768	sp900766505	tetA(46)	92.17	1725/1725	100.0	1..1725	SAMEA5390768.contig00001 len=720157 cov=36.1 corr=0 origname=NODE_1_length_720157_cov_36.125748_pilon sw=shovill-spades/1.1.0 date=20230705	392089..393813	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390768	sp900766505	tetB(46)	90.13	1722/1737	99.02130109383995	1..1721	SAMEA5390768.contig00001 len=720157 cov=36.1 corr=0 origname=NODE_1_length_720157_cov_36.125748_pilon sw=shovill-spades/1.1.0 date=20230705	390367..392087	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197328	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03197328.contig00006 len=147925 cov=5.6 corr=1 origname=NODE_6_length_147925_cov_5.561216_pilon sw=shovill-spades/1.0.4 date=20190301	66199..67662	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03197328	sp900766505	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN03197328.contig00006 len=147925 cov=5.6 corr=1 origname=NODE_6_length_147925_cov_5.561216_pilon sw=shovill-spades/1.0.4 date=20190301	67782..68999	Erythromycin, Azithromycin	U83667
SAMN03197328	sp900766505	tetA(46)	94.55	1725/1725	100.0	1..1725	SAMN03197328.contig00015 len=67482 cov=6.1 corr=0 origname=NODE_15_length_67482_cov_6.105754_pilon sw=shovill-spades/1.0.4 date=20190301	11241..12965	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197328	sp900766505	tetB(46)	92.16	1723/1737	98.96373056994818	1..1721	SAMN03197328.contig00015 len=67482 cov=6.1 corr=0 origname=NODE_15_length_67482_cov_6.105754_pilon sw=shovill-spades/1.0.4 date=20190301	12967..14687	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197329	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN03197329.contig00005 len=133506 cov=5.0 corr=0 origname=NODE_5_length_133506_cov_4.963368_pilon sw=shovill-spades/1.0.4 date=20190228	80264..81727	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN03197329	sp900766505	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN03197329.contig00005 len=133506 cov=5.0 corr=0 origname=NODE_5_length_133506_cov_4.963368_pilon sw=shovill-spades/1.0.4 date=20190228	78927..80144	Erythromycin, Azithromycin	U83667
SAMN03197329	sp900766505	tetA(46)	94.55	1725/1725	100.0	1..1725	SAMN03197329.contig00013 len=67472 cov=5.5 corr=0 origname=NODE_13_length_67472_cov_5.460067_pilon sw=shovill-spades/1.0.4 date=20190228	54508..56232	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN03197329	sp900766505	tetB(46)	92.16	1723/1737	98.96373056994818	1..1721	SAMN03197329.contig00013 len=67472 cov=5.5 corr=0 origname=NODE_13_length_67472_cov_5.460067_pilon sw=shovill-spades/1.0.4 date=20190228	52786..54506	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN36496298	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN36496298.contig00001 len=323634 cov=55.3 corr=0 origname=NODE_1_length_323634_cov_55.258383_pilon sw=shovill-spades/1.1.0 date=20240714	272296..273759	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN36496298	sp900766505	mef(A)	100.00	1218/1218	100.0	1..1218	SAMN36496298.contig00001 len=323634 cov=55.3 corr=0 origname=NODE_1_length_323634_cov_55.258383_pilon sw=shovill-spades/1.1.0 date=20240714	270959..272176	Erythromycin, Azithromycin	U83667
SAMN36496298	sp900766505	tetA(46)	94.55	1725/1725	100.0	1..1725	SAMN36496298.contig00002 len=218451 cov=56.4 corr=0 origname=NODE_2_length_218451_cov_56.383747_pilon sw=shovill-spades/1.1.0 date=20240714	69680..71404	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN36496298	sp900766505	tetB(46)	92.33	1722/1737	99.02130109383995	1..1721	SAMN36496298.contig00002 len=218451 cov=56.4 corr=0 origname=NODE_2_length_218451_cov_56.383747_pilon sw=shovill-spades/1.1.0 date=20240714	71406..73126	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN39987478	sp900766505	msr(D)	100.00	1464/1464	100.0	1..1464	SAMN39987478.contig00002 len=448313 cov=39.9 corr=0 origname=NODE_2_length_448313_cov_39.914503_pilon sw=shovill-spades/1.1.0 date=20240723	93860..95323	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMN39987478	sp900766505	mef(A)	99.92	1218/1218	100.0	1..1218	SAMN39987478.contig00002 len=448313 cov=39.9 corr=0 origname=NODE_2_length_448313_cov_39.914503_pilon sw=shovill-spades/1.1.0 date=20240723	95443..96660	Erythromycin, Azithromycin	U83667
SAMN39987478	sp900766505	tet(M)	99.84	1920/1920	100.0	1..1920	SAMN39987478.contig00001 len=971251 cov=39.4 corr=0 origname=NODE_1_length_971251_cov_39.373366_pilon sw=shovill-spades/1.1.0 date=20240723	829943..831862	Doxycycline, Tetracycline, Minocycline	X92947
SAMN39987478	sp900766505	tetA(46)	92.87	1725/1725	100.0	1..1725	SAMN39987478.contig00001 len=971251 cov=39.4 corr=0 origname=NODE_1_length_971251_cov_39.373366_pilon sw=shovill-spades/1.1.0 date=20240723	557133..558857	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMN39987478	sp900766505	tetB(46)	90.07	1722/1737	99.02130109383995	1..1721	SAMN39987478.contig00001 len=971251 cov=39.4 corr=0 origname=NODE_1_length_971251_cov_39.373366_pilon sw=shovill-spades/1.1.0 date=20240723	555411..557131	Doxycycline, Tetracycline, Tigecycline	HQ652506
