Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA104703319	sp001556435	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA104703319.contig00001 len=591450 cov=36.4 corr=0 origname=NODE_1_length_591450_cov_36.387179_pilon sw=shovill-spades/1.1.0 date=20230719	293325..294788	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA104703319	sp001556435	mef(A)	100.00	1218/1218	100.0	1..1218	SAMEA104703319.contig00001 len=591450 cov=36.4 corr=0 origname=NODE_1_length_591450_cov_36.387179_pilon sw=shovill-spades/1.1.0 date=20230719	294908..296125	Erythromycin, Azithromycin	U83667
SAMEA4362446	sp001556435	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA4362446.contig00003 len=281334 cov=36.4 corr=0 origname=NODE_3_length_281334_cov_36.429994_pilon sw=shovill-spades/1.0.4 date=20190205	65428..66891	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA4362446	sp001556435	mef(A)	99.92	1218/1218	99.91789819376025	1..1218	SAMEA4362446.contig00003 len=281334 cov=36.4 corr=0 origname=NODE_3_length_281334_cov_36.429994_pilon sw=shovill-spades/1.0.4 date=20190205	67011..68227	Erythromycin, Azithromycin	U83667
SAMEA4362454	sp001556435	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA4362454.contig00003 len=281334 cov=35.3 corr=0 origname=NODE_3_length_281334_cov_35.298587_pilon sw=shovill-spades/1.0.4 date=20190125	65428..66891	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA4362454	sp001556435	mef(A)	99.92	1218/1218	99.91789819376025	1..1218	SAMEA4362454.contig00003 len=281334 cov=35.3 corr=0 origname=NODE_3_length_281334_cov_35.298587_pilon sw=shovill-spades/1.0.4 date=20190125	67011..68227	Erythromycin, Azithromycin	U83667
SAMEA5379075	sp001556435	msr(D)	99.93	1464/1464	100.0	1..1464	SAMEA5379075.contig00001 len=376764 cov=37.5 corr=0 origname=NODE_1_length_376764_cov_37.548396_pilon sw=shovill-spades/1.1.0 date=20230705	65460..66923	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA5379075	sp001556435	mef(A)	99.92	1218/1218	99.91789819376025	1..1218	SAMEA5379075.contig00001 len=376764 cov=37.5 corr=0 origname=NODE_1_length_376764_cov_37.548396_pilon sw=shovill-spades/1.1.0 date=20230705	67043..68259	Erythromycin, Azithromycin	U83667
SAMEA6160297	sp001556435	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA6160297.contig00004 len=197920 cov=65.7 corr=0 origname=NODE_4_length_197920_cov_65.663082_pilon sw=shovill-spades/1.1.0 date=20230707	22385..23848	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA6160297	sp001556435	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA6160297.contig00004 len=197920 cov=65.7 corr=0 origname=NODE_4_length_197920_cov_65.663082_pilon sw=shovill-spades/1.1.0 date=20230707	23968..25185	Erythromycin, Azithromycin	U83667
SAMEA7117751	sp001556435	erm(B)	100.00	738/738	100.0	1..738	SAMEA7117751.contig00002 len=325355 cov=20.4 corr=0 origname=NODE_2_length_325355_cov_20.379466_pilon sw=shovill-spades/1.1.0 date=20230708	299260..299997	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
